datetime,open,high,low,close,volume
2026-01-15 13:39:00,141450,141500,141400,141500,63287
2026-01-15 13:40:00,141500,141600,141400,141600,231017
2026-01-15 13:41:00,141500,141600,141500,141550,24142
2026-01-15 13:42:00,141550,141600,141500,141500,35700
2026-01-15 13:43:00,141500,141600,141500,141550,34967
2026-01-15 13:44:00,141500,141600,141500,141600,23071
2026-01-15 13:45:00,141500,141700,141500,141600,77985
2026-01-15 13:46:00,141600,141700,141600,141700,64035
2026-01-15 13:47:00,141650,141800,141600,141800,68598
2026-01-15 13:48:00,141800,141800,141700,141750,32307
2026-01-15 13:49:00,141750,141750,141750,141750,0
2026-01-15 13:50:00,141750,141750,141750,141750,0
2026-01-15 13:51:00,141750,141750,141750,141750,0
2026-01-15 13:52:00,141750,141750,141750,141750,0
2026-01-15 13:53:00,141750,141750,141750,141750,0
2026-01-15 13:54:00,141750,141750,141750,141750,0
2026-01-15 13:55:00,141750,141750,141750,141750,0
2026-01-15 13:56:00,141750,141750,141750,141750,0
2026-01-15 13:57:00,141750,141750,141750,141750,0
2026-01-15 13:58:00,141750,141750,141750,141750,0
2026-01-15 13:59:00,141750,141750,141750,141750,0
2026-01-15 14:00:00,141750,141900,141750,141850,65252
2026-01-15 15:01:00,141750,141750,141750,141750,0
2026-01-15 15:02:00,141750,141750,141750,141750,0
2026-01-15 15:03:00,141750,141750,141750,141750,0
2026-01-15 15:04:00,141750,141750,141750,141750,0
2026-01-15 15:05:00,141750,141750,141750,141750,0
2026-01-15 15:06:00,141750,141750,141750,141750,0
2026-01-15 15:07:00,141750,141750,141750,141750,0
2026-01-15 15:08:00,141750,141750,141750,141750,0
2026-01-15 15:09:00,141750,141750,141750,141750,0
2026-01-15 15:10:00,141750,141750,141750,141750,0
2026-01-15 15:11:00,141750,141750,141750,141750,0
2026-01-15 15:12:00,141750,141750,141750,141750,0
2026-01-15 15:13:00,141750,141750,141750,141750,0
2026-01-15 15:14:00,141750,141750,141750,141750,0
2026-01-15 15:15:00,141750,141750,141750,141750,0
2026-01-15 15:16:00,141750,141750,141750,141750,0
2026-01-15 15:17:00,141750,141750,141750,141750,0
2026-01-15 15:18:00,141750,141750,141750,141750,0
2026-01-15 15:19:00,141750,141750,141750,141750,0
2026-01-15 15:20:00,141750,141750,141750,141750,0
2026-01-15 15:21:00,141750,141750,141750,141750,0
2026-01-15 15:22:00,141750,141750,141750,141750,0
2026-01-15 15:23:00,141750,141750,141750,141750,0
2026-01-15 15:24:00,141750,141750,141750,141750,0
2026-01-15 15:25:00,141750,141750,141750,141750,0
2026-01-15 15:26:00,141750,141750,141750,141750,0
2026-01-15 15:27:00,141750,141750,141750,141750,0
2026-01-15 15:28:00,141750,141750,141750,141750,0
2026-01-15 15:29:00,141750,141750,141750,141750,0
2026-01-15 15:30:00,141750,141900,141750,141850,65109
